time,x,y
1,100,100
2,94,100
3,88.36,99.7
4,83.0822572,99.119746
5,78.16314191,98.28130482
6,73.59425815,97.20822736
7,69.36351525,95.92479968
8,65.45610753,94.45540035
9,61.8553762,92.82397176
10,58.54354196,91.05360401
11,55.50230778,89.16622406
12,52.71333893,87.18237846
13,50.15863226,85.12109667
14,47.82078922,82.99982073
15,45.68320766,80.83438816
16,43.73020716,78.63905582
17,41.94710139,76.42655413
18,40.32022926,74.20816263
19,38.83695502,71.99379957
20,37.48564571,69.79211956
21,36.25563268,67.61061492
22,35.1371626,65.45571698
23,34.12134213,63.33289522
24,33.20007935,61.24675215
25,32.3660244,59.20111306
26,31.61251093,57.19910974
27,30.93349952,55.243258
28,30.32352394,53.33552874
29,29.7776406,51.4774129
30,29.2913815,49.6699802
31,28.86071084,47.91393236
32,28.48198504,46.20965082
33,28.15191626,44.55723957
34,27.86753924,42.95656343
35,27.62618107,41.40728212
36,27.42543394,39.90888055
37,27.26313043,38.4606957
38,27.13732127,37.0619404
39,27.0462553,35.71172427
40,26.98836139,34.40907226
41,26.96223221,33.15294089
42,26.96660961,31.94223249
43,27.00037156,30.77580772
44,27.06252028,29.65249646
45,27.15217173,28.57110728
46,27.26854604,27.53043572
47,27.41095896,26.52927141
48,27.57881423,25.56640423
49,27.77159666,24.64062957
50,27.9888659,23.7507529
51,28.2302509,22.89559358
52,28.49544491,22.07398808
53,28.78420096,21.28479273
54,29.09632781,20.52688597
55,29.43168634,19.79917017
56,29.79018626,19.10057314
57,30.17178318,18.4300493
58,30.57647597,17.78658056
59,31.00430439,17.16917701
60,31.45534697,16.57687736
61,31.9297191,16.0087492
62,32.42757129,15.46388918
63,32.9490877,14.9414229
64,33.4944847,14.44050488
65,34.0640097,13.96031827
66,34.65794001,13.50007457
67,35.27658192,13.05901323
68,35.92026976,12.63640124
69,36.5893652,12.23153265
70,37.28425655,11.84372802
71,38.00535811,11.47233392
72,38.75310971,11.1167223
73,39.5279762,10.77628997
74,40.33044704,10.45045794
75,41.16103598,10.13867086
76,42.02028068,9.840396415
77,42.9087425,9.555124704
78,43.82700623,9.282367661
79,44.77567987,9.021658471
80,45.75539447,8.772550993
81,46.76680392,8.534619209
82,47.81058486,8.30745668
83,48.88743648,8.090676027
84,49.99808041,7.883908431
85,51.14326056,7.686803154
86,52.32374302,7.499027084
87,53.54031586,7.320264313
88,54.793789,7.150215729
89,56.084994,6.988598649
90,57.41478385,6.835146473
91,58.78403276,6.689608378
92,60.1936358,6.551749038
93,61.64450864,6.421348384
94,63.13758712,6.298201398
95,64.67382682,6.182117947
96,66.25420252,6.072922663
97,67.87970761,5.970454854
98,69.55135338,5.874568476
99,71.27016821,5.785132146
100,73.03719665,5.702029209
101,74.85349835,5.625157863
102,76.72014683,5.554431342
103,78.63822812,5.489778169
104,80.60883918,5.431142475
105,82.63308607,5.378484396
106,84.71208197,5.331780559
107,86.84694482,5.291024646
108,89.03879477,5.256228077
109,91.28875122,5.22742078
110,93.59792952,5.204652098
111,95.96743721,5.187991823
112,98.39836987,5.177531372
113,100.8918064,5.173385127
114,103.4488036,5.175691956
115,106.0703905,5.184616928
116,108.7575613,5.200353253
117,111.5112682,5.223124459
118,114.3324127,5.253186852
119,117.2218365,5.290832274
120,120.1803107,5.336391198
121,123.2085237,5.390236214
122,126.3070687,5.452785926
123,129.4764279,5.524509333
124,132.7169564,5.605930734
125,136.0288632,5.69763523
126,139.4121906,5.80027489
127,142.8667901,5.914575659
128,146.3922971,6.041345096
129,149.9881002,6.181481034
130,153.6533095,6.335981281
131,157.3867187,6.505954463
132,161.1867645,6.692632153
133,165.0514801,6.897382407
134,168.9784437,7.121724874
135,172.9647208,7.367347623
136,177.0068003,7.636125854
137,181.1005228,7.930142664
138,185.2410008,8.251712022
139,189.4225309,8.603404117
140,193.6384961,8.988073202
141,197.8812577,9.408888031
142,202.1420371,9.869364928
143,206.4107861,10.37340345
144,210.6760455,10.92532446
145,214.9247931,11.52991031
146,219.1422797,12.19244659
147,223.3118556,12.91876453
148,227.4147893,13.71528294
149,231.4300806,14.58904788
150,235.334273,15.54776775
151,239.1012708,16.59984068
152,242.7021702,17.75437014
153,246.1051136,19.02116372
154,249.2751819,20.41070836
155,252.1743426,21.93411446
156,254.7614741,23.60301919
157,256.9924924,25.42943821
158,258.8206099,27.42555365
159,260.1967595,29.60342523
160,261.0702185,31.97461163
161,261.3894681,34.54969047
162,261.1033195,37.33766855
163,260.1623288,40.34527973
164,258.5205089,43.57617671
165,256.1373223,47.03003556
166,252.9799094,50.70160747
167,249.0254674,54.57977113
168,244.2636537,58.64665908
169,238.6988408,62.87694974
170,232.3520165,67.23742976
171,225.2620999,71.68693447
172,217.4864484,76.17676244
173,209.1003697,80.65163107
174,200.1955235,85.05119246
175,190.877208,89.31206683
176,181.2606501,93.37028247
177,171.4665473,97.1639474
178,161.6162138,100.6359333
179,151.8267415,103.7363359
180,142.2065889,106.424494
181,132.8519487,108.6704015
182,123.8441401,110.4554187
183,115.2481335,111.7722759
184,107.112186,112.6244352
185,99.46844706,113.0249382
186,92.33432689,112.9948988
187,85.71437957,112.5618079
188,79.60246198,111.7578002
189,73.9839594,110.6180082
190,68.83791578,109.1790869
191,64.13895854,107.477963
192,59.85895514,105.5508271
193,55.96837779,103.4323669
194,52.43738152,101.1552195
195,49.23661961,98.7496159
196,46.33783065,96.24318374
197,43.71423526,93.66087473
198,41.34078016,91.02498775
199,39.19426395,88.35526036
200,37.25337442,85.66900704
201,35.49866201,82.98128649
202,33.9124697,80.30508448
203,32.47883442,77.65150213
204,31.1833722,75.02994217
205,30.01315541,72.44828836
206,28.95658851,69.91307481
207,28.00328644,67.42964314
208,27.14395858,65.00228679
209,26.3702999,62.63438214
210,25.6748902,60.32850676
211,25.0511019,58.08654531
212,24.49301618,55.90978403
213,23.99534735,53.79899445
214,23.55337477,51.75450751
215,23.16288203,49.77627879
216,22.82010262,47.86394588
217,22.52167156,46.01687867
218,22.26458238,44.23422325
219,22.046149,42.51494034
220,21.86397183,40.85783868
221,21.71590781,39.26160406
222,21.60004381,37.72482455
223,21.51467305,36.24601225
224,21.45827425,34.82362219
225,21.42949312,33.4560685
226,21.42712599,32.14173837
227,21.4501052,30.87900399
228,21.49748626,29.66623273
229,21.56843636,28.50179581
230,21.6622242,27.3840756
231,21.77821094,26.31147181
232,21.91584216,25.28240662
233,22.07464071,24.2953289
234,22.25420034,23.34871778
235,22.45418002,22.44108542
236,22.67429886,21.57097923
237,22.91433168,20.73698369
238,23.17410492,19.93772156
239,23.4534931,19.17185491
240,23.75241563,18.43808565
241,24.07083393,17.7351559
242,24.40874895,17.0618481
243,24.76619889,16.41698488
244,25.14325718,15.79942879
245,25.5400307,15.2080819
246,25.95665823,14.64188525
247,26.39330901,14.09981819
248,26.8501815,13.58089771
249,27.32750234,13.08417761
250,27.8255253,12.60874768
251,28.34453054,12.15373281
252,28.88482379,11.71829209
253,29.44673578,11.30161789
254,30.03062167,10.90293487
255,30.6368606,10.52149908
256,31.26585529,10.15659698
257,31.91803173,9.807544477
258,32.59383891,9.473686011
259,33.29374866,9.154393609
260,34.01825545,8.849065968
261,34.76787631,8.557127563
262,35.54315076,8.278027761
263,36.34464081,8.011239968
264,37.17293096,7.756260789
265,38.02862824,7.512609223
266,38.91236228,7.279825873
267,39.82478545,7.05747219
268,40.76657293,6.845129739
269,41.73842289,6.642399492
270,42.74105662,6.448901157
271,43.77521876,6.264272524
272,44.84167741,6.088168848
273,45.9412244,5.920262257
274,47.07467545,5.760241193
275,48.24287037,5.607809875
276,49.44667332,5.462687804
277,50.68697296,5.324609284
278,51.96468265,5.193322983
279,53.28074069,5.068591524
280,54.63611043,4.950191103
281,56.03178047,4.837911142
282,57.46876479,4.731553972
283,58.94810283,4.630934555
284,60.47085959,4.53588023
285,62.03812566,4.446230507
286,63.6510172,4.361836885
287,65.3106759,4.282562718
288,67.01826881,4.208283115
289,68.77498821,4.138884884
290,70.58205128,4.074266519
291,72.44069974,4.014338237
292,74.3521994,3.959022061
